,Origin,Destination,Time (min),Summary,Directions
0,Techspace,Akçaabat Köftesi,2.8333333333333335,,Head northeast on Lobeckstraße. Go for 72 m.Continue straight onto Oranienstraße. Go for 25 m.Turn left onto Oranienstraße. Go for 71 m.Arrive at Oranienstraße. Your destination is on the right.
1,Techspace,Pacifico,3.8,,Head northeast on Lobeckstraße. Go for 72 m.Turn right onto Oranienstraße. Go for 146 m.Arrive at Oranienstraße. Your destination is on the right.
2,Techspace,Shishi,8.5,,"Head northeast on Lobeckstraße. Go for 72 m.Turn right onto Oranienstraße. Go for 179 m.Walk left around the roundabout and turn at the 2nd street Oranienstraße. Go for 151 m.Take the street on the right, Prinzessinnenstraße. Go for 74 m.Arrive at Prinzessinnenstraße."
3,Techspace,King's Chicken,7.0,,Head northeast on Lobeckstraße. Go for 72 m.Turn right onto Oranienstraße. Go for 179 m.Walk left around the roundabout and turn at the 2nd street Oranienstraße. Go for 139 m.Arrive at Oranienstraße. Your destination is on the left.
4,Techspace,Tapas y más,14.983333333333333,,Head northeast on Lobeckstraße. Go for 72 m.Continue straight onto Oranienstraße. Go for 25 m.Turn left onto Oranienstraße. Go for 70 m.Turn right onto Oranienstraße. Go for 24 m.Continue straight onto Alexandrinenstraße. Go for 38 m.Continue straight onto Platz. Go for 24 m.Head northwest on Alexandrinenstraße. Go for 365 m.Turn right onto Neue Grünstraße. Go for 258 m.Arrive at Neue Grünstraße. Your destination is on the right.
5,Techspace,Max und Moritz,9.8,,Head northeast on Lobeckstraße. Go for 72 m.Turn right onto Oranienstraße. Go for 179 m.Walk left around the roundabout and turn at the 2nd street Oranienstraße. Go for 307 m.Arrive at Oranienstraße.
6,Techspace,Tourlou,11.55,,Head southwest on Lobeckstraße. Go for 157 m.Turn left onto Ritterstraße. Go for 526 m.Arrive at Ritterstraße. Your destination is on the left.
7,Techspace,Kirchenwirt,12.383333333333333,,Head southwest on Lobeckstraße. Go for 99 m.Turn right. Go for 176 m.Turn left. Go for 291 m.Turn right. Go for 27 m.Turn left onto Alexandrinenstraße. Go for 140 m.Arrive at Alexandrinenstraße. Your destination is on the right.
8,Techspace,Shezan,21.466666666666665,,Head northeast on Lobeckstraße. Go for 72 m.Turn right onto Oranienstraße. Go for 112 m.Turn slightly left onto Stallschreiberstraße. Go for 82 m.Continue straight onto Stallschreiberstraße. Go for 147 m.Turn left onto Sebastianstraße. Go for 217 m.Turn right. Go for 108 m.Turn left. Go for 164 m.Turn left. Go for 48 m.Turn slightly right onto Alte Jakobstraße. Go for 98 m.Turn slightly left onto Neue Roßstraße. Go for 200 m.Arrive at Neue Roßstraße. Your destination is on the right.
9,Techspace,San Salvo,20.033333333333335,,Head southwest on Lobeckstraße. Go for 267 m.Turn left onto Lobeckstraße. Go for 11 m.Turn right. Go for 32 m.Turn left. Go for 102 m.Turn left onto Wassertorstraße. Go for 147 m.Turn right onto Prinzenstraße. Go for 459 m.Turn left onto Carl-Herz-Ufer. Go for 155 m.Arrive at Carl-Herz-Ufer. Your destination is on the right.
10,Techspace,Thai Huong Lieferservice,16.766666666666666,,Head northeast on Lobeckstraße. Go for 72 m.Turn right onto Oranienstraße. Go for 179 m.Walk left around the roundabout and turn at the 1st street Prinzenstraße. Go for 208 m.Turn right. Go for 16 m.Turn left onto Heinrich-Heine-Straße. Go for 85 m.Turn right onto Heinrich-Heine-Straße. Go for 78 m.Turn left. Go for 48 m.Turn left onto Dresdener Straße. Go for 22 m.Turn right onto Platz. Go for 31 m.Head northeast on Dresdener Straße. Go for 157 m.Turn right onto Annenstraße. Go for 52 m.Arrive at Annenstraße. Your destination is on the right.
11,Techspace,Cevichería,14.066666666666666,M29,"Head northeast on Lobeckstraße. Go for 72 m.Turn right onto Oranienstraße. Go for 179 m.Walk left around the roundabout and turn onto Moritzplatz. Go for 65 m.Go to the stop U Moritzplatz and take the bus M29 toward U Hermannplatz/Urbanstr.. Follow for 1 stop.Get off at Berlin, Oranienplatz.Head northwest. Go for 14 m.Turn left onto Oranienplatz. Go for 21 m.Turn right onto Dresdener Straße. Go for 99 m.Arrive at Dresdener Straße. Your destination is on the right."
12,Techspace,Tsukushiya - Japanese Deli,14.45,M29,"Head northeast on Lobeckstraße. Go for 72 m.Turn right onto Oranienstraße. Go for 179 m.Walk left around the roundabout and turn onto Moritzplatz. Go for 65 m.Go to the stop U Moritzplatz and take the bus M29 toward U Hermannplatz/Urbanstr.. Follow for 1 stop.Get off at Berlin, Oranienplatz.Head northwest. Go for 14 m.Turn left onto Oranienplatz. Go for 21 m.Turn right onto Dresdener Straße. Go for 122 m.Arrive at Dresdener Straße."
13,Techspace,Bei Lydia,19.066666666666666,U8,Head northeast on Lobeckstraße. Go for 72 m.Turn right onto Oranienstraße. Go for 179 m.Walk left around the roundabout and turn onto Moritzplatz. Go for 65 m.Go to the station U Moritzplatz and take the rail U8 toward S+U Wittenau. Follow for 1 station.Get off at U Heinrich-Heine-Str..Head east on Heinrich-Heine-Straße. Go for 34 m.Turn left onto Köpenicker Straße. Go for 375 m.Arrive at Inselstraße.
14,Techspace,2 Cool,14.316666666666666,M29,"Head northeast on Lobeckstraße. Go for 72 m.Turn right onto Oranienstraße. Go for 179 m.Walk left around the roundabout and turn onto Moritzplatz. Go for 65 m.Go to the stop U Moritzplatz and take the bus M29 toward U Hermannplatz/Urbanstr.. Follow for 1 stop.Get off at Berlin, Oranienplatz.Head northwest. Go for 16 m.Turn right onto Oranienplatz. Go for 139 m.Arrive at Oranienstraße. Your destination is on the left."
15,Techspace,Santa Maria,14.416666666666666,M29,"Head northeast on Lobeckstraße. Go for 72 m.Turn right onto Oranienstraße. Go for 179 m.Walk left around the roundabout and turn onto Moritzplatz. Go for 65 m.Go to the stop U Moritzplatz and take the bus M29 toward U Hermannplatz/Urbanstr.. Follow for 2 stops.Get off at Berlin, Adalbertstr./Oranienstr..Head west on Oranienstraße. Go for 108 m.Arrive at Oranienstraße. Your destination is on the right."
16,Techspace,Gasthaus Glashaus,14.983333333333333,,Head southwest on Lobeckstraße. Go for 157 m.Turn right onto Ritterstraße. Go for 708 m.Turn left onto Lindenstraße. Go for 14 m.Arrive at Lindenstraße. Your destination is on the right.
17,Techspace,Safran,13.966666666666667,M29,"Head northeast on Lobeckstraße. Go for 72 m.Turn right onto Oranienstraße. Go for 179 m.Walk left around the roundabout and turn onto Moritzplatz. Go for 65 m.Go to the stop U Moritzplatz and take the bus M29 toward U Hermannplatz/Urbanstr.. Follow for 2 stops.Get off at Berlin, Adalbertstr./Oranienstr..Head west on Oranienstraße. Go for 81 m.Arrive at Oranienstraße. Your destination is on the right."
18,Techspace,Rote Laterne,13.85,M29,"Head northeast on Lobeckstraße. Go for 72 m.Turn right onto Oranienstraße. Go for 179 m.Walk left around the roundabout and turn onto Moritzplatz. Go for 65 m.Go to the stop U Moritzplatz and take the bus M29 toward U Hermannplatz/Urbanstr.. Follow for 2 stops.Get off at Berlin, Adalbertstr./Oranienstr..Head west on Oranienstraße. Go for 74 m.Arrive at Oranienstraße."
19,Techspace,Lasan,14.733333333333333,U8,Head northeast on Lobeckstraße. Go for 72 m.Turn right onto Oranienstraße. Go for 179 m.Walk left around the roundabout and turn onto Moritzplatz. Go for 65 m.Go to the station U Moritzplatz and take the rail U8 toward S+U Hermannstr.. Follow for 1 station.Get off at U Kottbusser Tor.Head east on Kottbusser Tor. Go for 9 m.Walk left around the roundabout and turn at the 4th street Adalbertstraße. Go for 98 m.Arrive at Adalbertstraße. Your destination is on the left.
